Designator,Mid X,Mid Y,Rotation,Layer
BZ1,182.9,-86.3,270.0,top
C1,202.94,-135.76,270.0,top
C10,165.325,-100.25,90.0,top
C11,140.675,-95.525,270.0,top
C12,140.675,-104.325,90.0,top
C13,178.4,-96.9,0.0,top
C14,178.4,-98.37,0.0,top
C15,161.395,-69.3,0.0,top
C16,161.395,-70.6,0.0,top
C2,202.94,-127.46,90.0,top
C3,199.7,-135.755,270.0,top
C4,167.325,-88.775,270.0,top
C5,167.325,-83.275,270.0,top
C6,165.325,-87.525,90.0,top
C7,140.675,-86.675,270.0,top
C8,167.325,-101.5,270.0,top
C9,167.325,-96.0,270.0,top
D1,112.1,-116.25,195.0,top
D2,114.931282,-73.581281,345.0,top
D3,95.85,-92.95,315.0,top
D4,123.47,-96.045,70.0,top
F1,202.1025,-131.46,180.0,top
J1,210.8,-131.56,90.0,top
L1,148.025,-86.675,0.0,top
L2,148.025,-95.525,0.0,top
L3,148.025,-104.325,0.0,top
R1,210.04,-138.46,180.0,top
R10,163.675,-73.4,270.0,top
R11,163.8,-70.4,90.0,top
R12,157.985,-70.612,0.0,top
R2,210.04,-124.66,180.0,top
R3,136.9125,-76.3,180.0,top
R4,136.9125,-73.1,180.0,top
R5,136.9125,-70.0,180.0,top
R6,136.9125,-79.5,180.0,top
R7,142.175,-110.2,0.0,top
R8,157.175,-110.2,0.0,top
R9,172.175,-110.2,0.0,top
U1,159.325,-86.025,270.0,top
U2,159.325,-98.75,270.0,top
U3,176.59,-101.41,270.0,top
U4,159.785,-73.31,270.0,top
